,prices
0,278
1,649
2,470
3,259
4,367
5,72
6,549
7,369
8,534
9,375
10,249
11,470
12,245
13,338
14,275
15,920
16,341
17,402
18,66
19,329
20,"8,700"
21,180
22,"6,594"
23,339
24,"1,293"
25,70
26,0
27,399
28,449
29,299
30,287
31,278
32,179
33,369
34,75
35,399
36,80
37,215
38,270
39,170
40,379
41,649
42,370
43,329
44,149
45,699
46,479
47,649
48,549
49,519
50,299
51,299
52,199
53,645
54,"1,239"
55,599
56,899
57,549
